abnormal adipose tissue morphology|adipose tissue phenotype
abnormal ectoplacental cavity morphology|abnormal extraembryonic tissue morphology
abnormal parietal yolk sac morphology|abnormal extraembryonic tissue morphology
abnormal visceral yolk sac blood island morphology|abnormal visceral yolk sac morphology
excessive folding of visceral yolk sac|abnormal visceral yolk sac morphology
absent visceral yolk sac|abnormal visceral yolk sac morphology
absent ectoplacental cavity|abnormal ectoplacental cavity morphology
small proamniotic cavity|abnormal proamniotic cavity morphology
absent extraembryonic coelom|abnormal extraembryonic coelom morphology
abnormal temporomandibular joint morphology|abnormal joint morphology
abnormal common peroneal nerve morphology|abnormal somatic nervous system morphology
absent common peroneal nerve|abnormal common peroneal nerve morphology
abnormal brain copper level|abnormal copper level
abnormal brain copper level|abnormal brain morphology
increased brain copper level|abnormal brain copper level
decreased brain copper level|abnormal brain copper level
abnormal brainstem copper level|abnormal brain copper level
abnormal brainstem copper level|abnormal brainstem morphology
increased brainstem copper level|abnormal brainstem copper level
increased brainstem copper level|increased brain copper level
decreased brainstem copper level|abnormal brainstem copper level
decreased brainstem copper level|decreased brain copper level
abnormal intestinal calcium absorption|abnormal intestinal mineral absorption
increased intestinal calcium absorption|abnormal intestinal calcium absorption
decreased intestinal calcium absorption|abnormal intestinal calcium absorption
abnormal lymph node medullary sinus morphology|abnormal lymph node medulla morphology
dilated lymph node medullary sinus|abnormal lymph node medullary sinus morphology
abnormal lymph node medullary cord morphology|abnormal lymph node medulla morphology
lymph node medullary cord hyperplasia|abnormal lymph node medullary cord morphology
abnormal thiamin level|abnormal vitamin level
abnormal vitamin b12 level|abnormal vitamin level
abnormal vitamin d level|abnormal sterol level
abnormal vitamin d level|abnormal fat-soluble vitamin level
abnormal vitamin c level|abnormal vitamin level
abnormal folic acid level|abnormal vitamin level
abnormal vitamin e level|abnormal fat-soluble vitamin level
abnormal vitamin a level|abnormal fat-soluble vitamin level
abnormal vitamin a metabolism|abnormal vitamin metabolism
abnormal retinol level|abnormal vitamin a level
abnormal blood oxygen capacity|abnormal blood homeostasis
increased blood oxygen capacity|abnormal blood oxygen capacity
decreased blood oxygen capacity|abnormal blood oxygen capacity
abnormal inner ear development|abnormal inner ear morphology
abnormal inner ear development|abnormal ear development
abnormal skin coloration|abnormal skin morphology
abnormal fetal derived definitive erythrocyte morphology|abnormal erythrocyte morphology
abnormal fetal derived definitive erythrocyte cell number|abnormal erythrocyte cell number
abnormal fetal derived definitive erythrocyte cell number|abnormal fetal derived definitive erythrocyte morphology
increased fetal derived definitive erythrocyte cell number|increased erythrocyte cell number
increased fetal derived definitive erythrocyte cell number|abnormal fetal derived definitive erythrocyte cell number
decreased fetal derived definitive erythrocyte cell number|abnormal fetal derived definitive erythrocyte cell number
decreased fetal derived definitive erythrocyte cell number|decreased erythrocyte cell number
absent fetal derived definitive erythrocytes|absent erythrocytes
absent fetal derived definitive erythrocytes|decreased fetal derived definitive erythrocyte cell number
abnormal fetal derived definitive erythrocyte physiology|abnormal erythrocyte physiology
abnormal fetal liver hematopoietic progenitor cell morphology|abnormal hematopoietic stem cell morphology
abnormal yolk sac hematopoietic stem cell morphology|abnormal hematopoietic stem cell morphology
visceral organ asymmetry|heterotaxia
abdominal situs inversus|heterotaxia
abdominal situs ambiguus|heterotaxia
bronchial situs inversus|lung situs inversus
situs inversus totalis|situs inversus
situs inversus with levocardia|situs inversus
superior-inferior ventricles|abnormal heart ventricle morphology
superior-inferior ventricles|abnormal heart position or orientation
abnormal anterior visceral endoderm cell migration|abnormal visceral endoderm physiology
abnormal anterior visceral endoderm cell migration|abnormal cell migration
abnormal neural fold morphology|abnormal embryonic tissue morphology
abnormal head fold morphology|abnormal embryonic tissue morphology
abnormal tail fold morphology|abnormal embryonic tissue morphology
abnormal cephalic neural fold morphology|abnormal neural fold morphology
abnormal head mesenchyme morphology|abnormal embryonic tissue morphology
abnormal head mesenchyme morphology|abnormal head development
abnormal limb mesenchyme morphology|abnormal limb bud morphology
abnormal pharyngeal arch mesenchyme morphology|abnormal pharyngeal arch development
abnormal pharyngeal arch mesenchyme morphology|abnormal head mesenchyme morphology
abnormal spleen mesenchyme morphology|abnormal spleen development
abnormal cardiac mesenchyme morphology|abnormal cardiovascular development
abnormal pancreas mesenchyme morphology|abnormal pancreas development
abnormal frontonasal mesenchyme morphology|abnormal head mesenchyme morphology
abnormal excitatory postsynaptic current amplitude|abnormal excitatory postsynaptic currents
biphasic excitatory postsynaptic current amplitude|abnormal excitatory postsynaptic current amplitude
increased excitatory postsynaptic current amplitude|abnormal excitatory postsynaptic current amplitude
decreased excitatory postsynaptic current amplitude|abnormal excitatory postsynaptic current amplitude
prolonged excitatory postsynaptic current rise time|abnormal excitatory postsynaptic currents
short excitatory postsynaptic current rise time|abnormal excitatory postsynaptic currents
prolonged excitatory postsynaptic current decay time|abnormal excitatory postsynaptic currents
short excitatory postsynaptic current decay time|abnormal excitatory postsynaptic currents
abnormal behavioral response to light|abnormal behavior
increased tail pigmentation|hyperpigmentation
increased tail pigmentation|abnormal tail pigmentation
decreased tail pigmentation|hypopigmentation
decreased tail pigmentation|abnormal tail pigmentation
increased ear pigmentation|abnormal ear pigmentation
increased ear pigmentation|hyperpigmentation
decreased ear pigmentation|abnormal ear pigmentation
decreased ear pigmentation|hypopigmentation
abnormal flank coat pigmentation|abnormal coat/hair pigmentation
abnormal olfactory epithelium cilium morphology|abnormal olfactory epithelium morphology
abnormal olfactory epithelium cilium morphology|abnormal nonmotile primary cilium morphology
increased podocyte apoptosis|increased kidney apoptosis
abnormal erythropoietin level|abnormal hormone level
abnormal circulating erythropoietin level|abnormal circulating hormone level
abnormal circulating erythropoietin level|abnormal erythropoietin level
increased circulating erythropoietin level|abnormal circulating erythropoietin level
increased circulating erythropoietin level|increased erythropoietin level
decreased circulating erythropoietin level|abnormal circulating erythropoietin level
decreased circulating erythropoietin level|decreased erythropoietin level
increased erythropoietin level|abnormal erythropoietin level
decreased erythropoietin level|abnormal erythropoietin level
abnormal nephron number|abnormal nephron morphology
decreased nephron number|abnormal nephron number
nephron necrosis|abnormal nephron morphology
absent nephron|abnormal nephron morphology
dilated nephron|abnormal nephron morphology
renal glomerulus hypertrophy|abnormal renal glomerulus morphology
abnormal tubuloglomerular feedback response|abnormal kidney physiology
decreased tubuloglomerular feedback response|abnormal tubuloglomerular feedback response
absent tubuloglomerular feedback response|abnormal tubuloglomerular feedback response
ureter hypoplasia|abnormal ureter morphology
abnormal macula densa morphology|abnormal juxtaglomerular apparatus morphology
abnormal macula densa morphology|abnormal distal convoluted tubule morphology
abnormal juxtaglomerular cell morphology|abnormal juxtaglomerular apparatus morphology
juxtaglomerular cell hyperplasia|abnormal juxtaglomerular cell morphology
abnormal extraglomerular mesangial cell morphology|abnormal extraglomerular mesangium morphology
abnormal extraglomerular mesangial cell morphology|abnormal juxtaglomerular apparatus morphology
absent kidney papilla|abnormal kidney papilla morphology
kidney papillary atrophy|abnormal kidney papilla morphology
dilated kidney calyx|abnormal kidney calyx morphology
absent kidney pelvis|abnormal kidney pelvis morphology
kidney medulla cysts|abnormal kidney medulla morphology
kidney medulla cysts|kidney cysts
kidney corticomedullary cysts|kidney cysts
abnormal kidney arterial blood vessel morphology|abnormal kidney blood vessel morphology
abnormal kidney arterial blood vessel morphology|abnormal systemic artery morphology
abnormal kidney capillary morphology|abnormal capillary morphology
abnormal kidney capillary morphology|abnormal kidney blood vessel morphology
abnormal kidney venous blood vessel morphology|abnormal vein morphology
abnormal kidney venous blood vessel morphology|abnormal kidney blood vessel morphology
abnormal kidney afferent arteriole morphology|abnormal renal corpuscle morphology
abnormal kidney afferent arteriole morphology|abnormal kidney arterial blood vessel morphology
abnormal kidney efferent arteriole morphology|abnormal renal corpuscle morphology
abnormal kidney efferent arteriole morphology|abnormal kidney arterial blood vessel morphology
abnormal kidney cortex artery morphology|abnormal kidney cortex morphology
abnormal kidney cortex artery morphology|abnormal kidney arterial blood vessel morphology
abnormal kidney arcuate artery morphology|abnormal kidney cortex artery morphology
abnormal kidney interlobular artery morphology|abnormal kidney cortex artery morphology
abnormal renal artery morphology|abnormal kidney arterial blood vessel morphology
abnormal right renal artery morphology|abnormal renal artery morphology
abnormal left renal artery morphology|abnormal renal artery morphology
abnormal glomerular capillary morphology|abnormal kidney capillary morphology
abnormal glomerular capillary morphology|abnormal renal glomerulus morphology
abnormal peritubular capillary morphology|abnormal kidney capillary morphology
abnormal kidney cortex vein morphology|abnormal kidney cortex morphology
abnormal kidney cortex vein morphology|abnormal kidney venous blood vessel morphology
abnormal renal vein morphology|abnormal kidney venous blood vessel morphology
abnormal kidney vasa recta morphology|abnormal kidney blood vessel morphology
abnormal kidney arcuate vein morphology|abnormal kidney cortex vein morphology
abnormal interlobular vein morphology|abnormal kidney cortex vein morphology
abnormal left renal vein morphology|abnormal renal vein morphology
abnormal right renal vein morphology|abnormal renal vein morphology
abnormal inner renal medulla vasa recta morphology|abnormal kidney vasa recta morphology
abnormal inner renal medulla vasa recta morphology|abnormal kidney inner medulla morphology
abnormal kidney outer medulla vasa recta morphology|abnormal kidney vasa recta morphology
abnormal kidney outer medulla vasa recta morphology|abnormal kidney outer medulla morphology
abnormal papillary duct morphology|abnormal kidney collecting duct morphology
abnormal kidney outer medulla morphology|abnormal kidney medulla morphology
abnormal kidney inner medulla morphology|abnormal kidney medulla morphology
abnormal nephrogenic zone morphology|abnormal kidney development
abnormal kidney pelvis smooth muscle morphology|abnormal ureter smooth muscle morphology
abnormal kidney pelvis smooth muscle morphology|abnormal kidney pelvis morphology
abnormal kidney pelvis urothelium morphology|abnormal kidney pelvis morphology
abnormal kidney pelvis urothelium morphology|abnormal urothelium morphology
abnormal perihilar interstitium morphology|abnormal kidney interstitium morphology
abnormal mesangial matrix morphology|abnormal glomerular mesangium morphology
abnormal glomerular mesangium morphology|abnormal renal glomerulus morphology
abnormal extraglomerular mesangium morphology|abnormal renal corpuscle morphology
abnormal loop of henle descending limb morphology|abnormal loop of henle morphology
abnormal loop of henle ascending limb morphology|abnormal loop of henle morphology
abnormal loop of henle ascending limb thin segment morphology|abnormal loop of henle ascending limb morphology
abnormal loop of henle ascending limb thick segment morphology|abnormal loop of henle ascending limb morphology
truncated loop of henle|abnormal loop of henle morphology
renal tubule atrophy|abnormal renal tubule morphology
renal tubule atrophy|kidney atrophy
abnormal kidney medullary ray morphology|abnormal kidney cortex morphology
abnormal renal glomerulus basement membrane morphology|abnormal renal corpuscle morphology
abnormal renal glomerulus basement membrane thickness|abnormal renal glomerulus basement membrane morphology
abnormal proximal convoluted tubule brush border morphology|abnormal proximal convoluted tubule morphology
absent proximal convoluted tubule brush border|abnormal proximal convoluted tubule brush border morphology
proximal convoluted tubule brush border loss|abnormal proximal convoluted tubule brush border morphology
expanded mesangial matrix|abnormal mesangial matrix morphology
absent renal glomerulus|abnormal renal glomerulus morphology
abnormal kidney interlobar artery morphology|abnormal kidney arterial blood vessel morphology
renal artery stenosis|artery stenosis
renal artery stenosis|abnormal renal artery morphology
supernumerary renal arteries|abnormal renal artery morphology
renal artery aneurysm|aneurysm
renal artery aneurysm|abnormal renal artery morphology
decreased glomerular capillary number|abnormal glomerular capillary morphology
kidney cortex hypoplasia|abnormal kidney cortex morphology
pelvic kidney|ectopic kidney
ectopic adrenal gland|abnormal adrenal gland morphology
renal glomerulus atrophy|kidney atrophy
renal glomerulus atrophy|abnormal renal glomerulus morphology
abnormal metanephros morphology|abnormal kidney development
small metanephros|abnormal metanephros morphology
absent metanephros|abnormal metanephros morphology
abnormal kidney apoptosis|abnormal kidney physiology
abnormal kidney apoptosis|abnormal apoptosis
increased kidney apoptosis|increased apoptosis
increased kidney apoptosis|abnormal kidney apoptosis
increased renal glomerulus apoptosis|increased kidney apoptosis
increased mesangial cell apoptosis|increased kidney apoptosis
decreased kidney apoptosis|decreased apoptosis
decreased kidney apoptosis|abnormal kidney apoptosis
decreased renal tubule apoptosis|decreased kidney apoptosis
decreased mesangial cell apoptosis|decreased kidney apoptosis
decreased podocyte apoptosis|decreased kidney apoptosis
decreased renal glomerulus apoptosis|decreased kidney apoptosis
abnormal kidney corticomedullary boundary morphology|abnormal kidney morphology
renal glomerulus fibrosis|abnormal renal glomerulus morphology
renal glomerulus fibrosis|renal fibrosis
abnormal kidney outer medulla inner stripe morphology|abnormal kidney outer medulla morphology
abnormal kidney outer medulla outer stripe morphology|abnormal kidney outer medulla morphology
enlarged brain ventricles|abnormal brain ventricle size
abnormal kidney lobe morphology|abnormal kidney morphology
abnormal kidney lobule morphology|abnormal kidney morphology
abnormal kidney capsule morphology|abnormal kidney morphology
abnormal progesterone level|abnormal hormone level
abnormal testosterone level|abnormal hormone level
increased metanephric mesenchyme apoptosis|abnormal metanephric mesenchyme morphology
increased metanephric mesenchyme apoptosis|increased embryonic tissue cell apoptosis
absent metanephric mesenchyme|abnormal metanephric mesenchyme morphology
absent heart|abnormal heart morphology
absent optic disc|abnormal optic disc morphology
abnormal fetal cardiomyocyte physiology|abnormal cardiovascular system physiology
abnormal fetal cardiomyocyte apoptosis|abnormal apoptosis
abnormal fetal cardiomyocyte apoptosis|abnormal fetal cardiomyocyte physiology
increased fetal cardiomyocyte apoptosis|increased apoptosis
increased fetal cardiomyocyte apoptosis|abnormal fetal cardiomyocyte apoptosis
decreased fetal cardiomyocyte apoptosis|decreased apoptosis
decreased fetal cardiomyocyte apoptosis|abnormal fetal cardiomyocyte apoptosis
increased fetal cardiomyocyte proliferation|abnormal fetal cardiomyocyte proliferation
increased fetal cardiomyocyte proliferation|increased cell proliferation
decreased fetal cardiomyocyte proliferation|abnormal fetal cardiomyocyte proliferation
decreased fetal cardiomyocyte proliferation|decreased cell proliferation
abnormal sleep behavior|abnormal behavior
endoneurial edema|edema
endoneurial edema|abnormal nervous system physiology
abnormal endoneurial fluid pressure|abnormal nervous system physiology
increased endoneurial fluid pressure|abnormal endoneurial fluid pressure
complete lethality|abnormal survival
abnormal vascular smooth muscle development|abnormal muscle development
abnormal vascular smooth muscle development|abnormal vascular smooth muscle morphology
abnormal vascular smooth muscle development|abnormal vascular development
renal cast|abnormal nephron morphology
pyelonephritis|kidney inflammation
pyelitis|kidney inflammation
tubulointerstitial nephritis|kidney inflammation
abnormal retrotrapezoid nucleus morphology|abnormal medulla oblongata morphology
absent nephrogenic zone|abnormal nephrogenic zone morphology
renal tubule hypertrophy|abnormal renal tubule morphology
increased renal glomerulus basement membrane thickness|abnormal renal glomerulus basement membrane thickness
ectopic testis|abnormal testis morphology
abnormal gonadal ridge morphology|abnormal embryonic tissue morphology
gonadal ridge hypoplasia|abnormal gonadal ridge morphology
colorless urine|abnormal urine color
erythruria|abnormal urine color
abnormal aldosterone level|abnormal hormone level
abnormal testis interstitial tissue morphology|abnormal testis morphology
abnormal renal transport|abnormal kidney physiology
leukocyturia|abnormal urine homeostasis
erythrocyturia|hematuria
pyuria|abnormal urine homeostasis
cylindruria|abnormal urine homeostasis
kidney medulla atrophy|kidney atrophy
kidney medulla atrophy|abnormal kidney medulla morphology
kidney cortex atrophy|abnormal kidney cortex morphology
kidney cortex atrophy|kidney atrophy
decreased urine uric acid level|abnormal urine uric acid level
abnormal kidney interstitium morphology|abnormal kidney morphology
abnormal ureter smooth muscle morphology|abnormal ureter morphology
mesangial cell hyperplasia|abnormal mesangial cell morphology
mesangial cell hypoplasia|abnormal mesangial cell morphology
absent mesangial cell|abnormal mesangial cell morphology
mesangiolysis|abnormal glomerular mesangium morphology
increased urine flow rate|abnormal urination
decreased urine flow rate|abnormal urination
glomerular capillary congestion|kidney vascular congestion
abnormal urine magnesium level|abnormal urine homeostasis
increased urine magnesium level|abnormal urine magnesium level
decreased urine magnesium level|abnormal urine magnesium level
glomerulus hemorrhage|kidney hemorrhage
absent kidney medulla|abnormal kidney medulla morphology
abnormal kidney cell proliferation|abnormal kidney physiology
abnormal kidney cell proliferation|abnormal cell proliferation
increased kidney cell proliferation|abnormal kidney cell proliferation
increased kidney cell proliferation|increased cell proliferation
decreased kidney cell proliferation|abnormal kidney cell proliferation
decreased kidney cell proliferation|decreased cell proliferation
abnormal renal sodium ion transport|abnormal renal transport
abnormal renal water transport|abnormal renal water homeostasis
abnormal renal water transport|abnormal renal transport
abnormal renal water homeostasis|abnormal kidney physiology
abnormal renal protein reabsorption|abnormal renal reabsorbtion
abnormal renal protein reabsorption|abnormal protein level
abnormal renal albumin reabsorption|abnormal renal protein reabsorption
abnormal renal glucose reabsorption|abnormal renal reabsorbtion
abnormal renal glucose reabsorption|abnormal glucose homeostasis
decreased dopaminergic neuron number|decreased neuron number
decreased dopaminergic neuron number|abnormal dopaminergic neuron morphology
increased dopaminergic neuron number|increased neuron number
increased dopaminergic neuron number|abnormal dopaminergic neuron morphology
ectopic dopaminergic neuron|abnormal dopaminergic neuron morphology
ectopic dopaminergic neuron|ectopic neuron
increased susceptibility to dopaminergic neuron neurotoxicity|increased susceptibility to neuronal excitotoxicity
decreased susceptibility to dopaminergic neuron neurotoxicity|decreased susceptibility to neuronal excitotoxicity
abnormal glomerular capillary endothelium morphology|abnormal blood vessel endothelium morphology
abnormal glomerular capillary endothelium morphology|abnormal glomerular capillary morphology
abnormal glomerular endothelium fenestra morphology|abnormal glomerular capillary endothelium morphology
absent glomerular endothelium fenestra|abnormal glomerular endothelium fenestra morphology
abnormal ureter ureteric bud development|abnormal ureteric bud morphology
abnormal ureter ureteric bud development|abnormal ureter development
abnormal metanephric ureteric bud development|abnormal ureteric bud morphology
abnormal metanephric ureteric bud development|abnormal kidney development
abnormal urine chloride ion level|abnormal chloride level
abnormal urine chloride ion level|abnormal urine homeostasis
increased urine chloride ion level|abnormal urine chloride ion level
decreased urine chloride ion level|abnormal urine chloride ion level
abnormal urine bicarbonate level|abnormal urine homeostasis
increased urine bicarbonate level|abnormal urine bicarbonate level
decreased urine bicarbonate level|abnormal urine bicarbonate level
bilirubinuria|increased urine protein level
abnormal urine urea nitrogen level|abnormal urine homeostasis
increased urine urea nitrogen level|abnormal urine urea nitrogen level
decreased urine urea nitrogen level|abnormal urine urea nitrogen level
abnormal urine amino acid level|abnormal amino acid level
abnormal urine amino acid level|abnormal urine homeostasis
abnormal urine creatinine level|abnormal urine amino acid level
increased urine creatinine level|abnormal urine creatinine level
decreased urine creatinine level|abnormal urine creatinine level
abnormal urine glycosaminoglycan level|abnormal glycosaminoglycan level
abnormal urine glycosaminoglycan level|abnormal urine homeostasis
increased urine glycosaminoglycan level|abnormal urine glycosaminoglycan level
decreased urine glycosaminoglycan level|abnormal urine glycosaminoglycan level
abnormal glycosaminoglycan level|abnormal homeostasis
abnormal urine nucleotide level|abnormal urine homeostasis
abnormal urine nucleoside level|abnormal urine homeostasis
abnormal urine catecholamine level|abnormal catecholamine level
abnormal urine catecholamine level|abnormal urine homeostasis
abnormal catecholamine level|abnormal homeostasis
impaired ureteric peristalsis|abnormal ureter physiology
anterior iris synechia|abnormal cornea morphology
anterior iris synechia|iris synechia
posterior iris synechia|iris synechia
renal glomerular synechia|abnormal renal glomerulus morphology
abnormal ureter urothelium morphology|abnormal ureter morphology
abnormal ureter urothelium morphology|abnormal urothelium morphology
abnormal urethra urothelium morphology|abnormal urethra morphology
abnormal urethra urothelium morphology|abnormal urothelium morphology
ectopic ureter|abnormal ureter morphology
abnormal ureteropelvic junction morphology|abnormal renal/urinary system morphology
abnormal ureterovesical junction morphology|abnormal renal/urinary system morphology
ureteropelvic junction atresia|abnormal ureteropelvic junction morphology
ureteropelvic junction stenosis|abnormal ureteropelvic junction morphology
ureteropelvic junction obstruction|abnormal ureteropelvic junction morphology
ureterovesical junction obstruction|abnormal ureterovesical junction morphology
double ureter|abnormal ureter morphology
abnormal pigmentation pattern|pigmentation phenotype
abnormal head shape|abnormal craniofacial morphology
abnormal head shape|abnormal head morphology
abnormal head size|abnormal head morphology
abnormal glomerular capsule visceral layer morphology|abnormal renal glomerular capsule morphology
abnormal glomerular capsule parietal layer morphology|abnormal renal glomerular capsule morphology
abnormal glomerular capsule space morphology|abnormal renal glomerular capsule morphology
decreased glomerular capsule space|abnormal glomerular capsule space morphology
increased glomerular capsule space|abnormal glomerular capsule space morphology
parietal capsular epithelium metaplasia|abnormal glomerular capsule parietal layer morphology
distended jejunum|abnormal jejunum morphology
abnormal limb long bone morphology|abnormal long bone morphology
abnormal limb long bone morphology|abnormal limb bone morphology
camptomelia|abnormal limb long bone morphology
glomerular crescent|abnormal renal glomerulus morphology
kidney thrombosis|thrombosis
kidney thrombosis|abnormal kidney blood vessel morphology
glomerular capillary thrombosis|kidney thrombosis
glomerular capillary thrombosis|abnormal glomerular capillary morphology
dilated glomerular capillary|abnormal glomerular capillary morphology
biventricular, discordant atrioventricular connection|abnormal heart atrium and ventricle connection
biventricular, ambiguous atrioventricular connection|abnormal heart atrium and ventricle connection
mesangial cell interposition|abnormal mesangial cell morphology
abnormal vertebral artery morphology|abnormal systemic artery morphology
skin hemorrhage|abnormal skin morphology
skin hemorrhage|hemorrhage
purpura|skin hemorrhage
aspartylglucosaminuria|aminoaciduria
hyperoxaluria|abnormal urine homeostasis
abnormal cell chemotaxis|abnormal cell migration
abnormal placenta labyrinth size|abnormal placenta labyrinth morphology
increased placental labyrinth size|abnormal placenta labyrinth size
decreased placental labyrinth size|abnormal placenta labyrinth size
abnormal placental labyrinth villi morphology|abnormal placenta labyrinth morphology
thin placenta labyrinth|decreased placental labyrinth size
thick placenta labyrinth|increased placental labyrinth size
abnormal placenta intervillous maternal lacunae morphology|abnormal placenta labyrinth morphology
abnormal placenta fetal blood space morphology|abnormal placenta labyrinth morphology
disorganized placental labyrinth|abnormal placenta labyrinth morphology
abnormal placental labyrinth villi branching morphogenesis|abnormal placental labyrinth villi morphology
increased placenta intervillous maternal lacunae size|abnormal placenta intervillous maternal lacunae morphology
fused radius and ulna|abnormal ulna morphology
fused radius and ulna|abnormal radius morphology
abnormal syncytiotrophoblast morphology|abnormal trophoblast layer morphology
abnormal syncytiotrophoblast morphology|abnormal placental labyrinth villi morphology
decreased urine major urinary protein level|decreased urine protein level
increased urine major urinary protein level|increased urine protein level
granular kidney|abnormal kidney morphology
increased urination frequency|abnormal urination pattern
decreased urination frequency|abnormal urination pattern
uraturia|increased urine uric acid level
abnormal urine hormone level|abnormal urine protein level
abnormal urine hormone level|abnormal hormone level
abnormal urine aldosterone level|abnormal urine hormone level
abnormal urine aldosterone level|abnormal aldosterone level
increased urine aldosterone level|abnormal urine aldosterone level
decreased urine aldosterone level|abnormal urine aldosterone level
abnormal urine antidiuretic hormone level|abnormal urine hormone level
increased urine antidiuretic hormone level|abnormal urine antidiuretic hormone level
decreased urine antidiuretic hormone level|abnormal urine antidiuretic hormone level
abnormal urine progesterone level|abnormal urine hormone level
abnormal urine progesterone level|abnormal progesterone level
increased urine progesterone level|abnormal urine progesterone level
decreased urine progesterone level|abnormal urine progesterone level
abnormal urine corticosterone level|abnormal urine hormone level
abnormal urine corticosterone level|abnormal corticosterone level
increased urine corticosterone level|abnormal urine corticosterone level
decreased urine corticosterone level|abnormal urine corticosterone level
variegated eye pigmentation pattern|abnormal eye pigmentation
abnormal urine deoxycorticosterone level|abnormal urine homeostasis
increased urine deoxycorticosterone level|abnormal urine deoxycorticosterone level
decreased urine deoxycorticosterone level|abnormal urine deoxycorticosterone level
increased urine microglobulin level|increased urine protein level
increased urine beta2-microglobulin level|increased urine microglobulin level
increased susceptibility to induced choroid neovascularization|choroidal neovascularization
abnormal urine insulin level|abnormal urine homeostasis
increased urine insulin level|abnormal urine insulin level
decreased urine insulin level|abnormal urine insulin level
renal glomerulus lipidosis|abnormal renal glomerulus morphology
abnormal urine prostaglandin level|abnormal urine homeostasis
increased urine prostaglandin level|abnormal urine prostaglandin level
decreased urine prostaglandin level|abnormal urine prostaglandin level
kidney papillary hypoplasia|abnormal kidney papilla morphology
abnormal complement protein level|abnormal complement pathway
abnormal complement protein level|abnormal protein level
increased renal glomerulus lobularity|abnormal renal glomerulus morphology
decreased foot pigmentation|hypopigmentation
decreased foot pigmentation|abnormal foot pigmentation
abnormal azygos vein morphology|abnormal vein morphology
esophageal achalasia|abnormal esophageal peristalsis
esophageal achalasia|abnormal gastroesophageal sphincter physiology
enlarged inferior vena cava valve|abnormal inferior vena cava valve morphology
abnormal aorta bulb morphology|abnormal ascending aorta morphology
abnormal sinotubular junction morphology|abnormal ascending aorta morphology
dilated sinotubular junction|abnormal sinotubular junction morphology
dilated aorta bulb|abnormal aorta bulb morphology
absent cervical atlas|abnormal cervical atlas morphology
abnormal lipoprotein lipase activity|abnormal triglyceride lipase activity
increased lipoprotein lipase activity|abnormal lipoprotein lipase activity
increased lipoprotein lipase activity|increased triglyceride lipase activity
decreased lipoprotein lipase activity|abnormal lipoprotein lipase activity
decreased lipoprotein lipase activity|decreased triglyceride lipase activity
abnormal triglyceride lipase activity|abnormal enzyme/coenzyme activity
increased triglyceride lipase activity|abnormal triglyceride lipase activity
decreased triglyceride lipase activity|abnormal triglyceride lipase activity
abnormal alkaline phosphatase activity|abnormal enzyme/coenzyme activity
increased alkaline phosphatase activity|abnormal alkaline phosphatase activity
decreased alkaline phosphatase activity|abnormal alkaline phosphatase activity
abnormal ornithine carbamoyltransferase activity|abnormal enzyme/coenzyme activity
increased ornithine carbamoyltransferase activity|abnormal ornithine carbamoyltransferase activity
decreased ornithine carbamoyltransferase activity|abnormal ornithine carbamoyltransferase activity
abnormal hormone-sensitive lipase activity|abnormal enzyme/coenzyme activity
increased hormone-sensitive lipase activity|abnormal hormone-sensitive lipase activity
decreased hormone-sensitive lipase activity|abnormal hormone-sensitive lipase activity
abnormal catalase activity|abnormal peroxidase activity
increased catalase activity|increased peroxidase activity
increased catalase activity|abnormal catalase activity
decreased catalase activity|abnormal catalase activity
decreased catalase activity|decreased peroxidase activity
abnormal purine-nucleoside phosphorylase activity|abnormal enzyme/coenzyme activity
increased purine-nucleoside phosphorylase activity|abnormal purine-nucleoside phosphorylase activity
decreased purine-nucleoside phosphorylase activity|abnormal purine-nucleoside phosphorylase activity
abnormal phosphatidylcholine-sterol o-acyltransferase activity|abnormal enzyme/coenzyme activity
increased phosphatidylcholine-sterol o-acyltransferase activity|abnormal phosphatidylcholine-sterol o-acyltransferase activity
decreased phosphatidylcholine-sterol o-acyltransferase activity|abnormal phosphatidylcholine-sterol o-acyltransferase activity
abnormal glutathione peroxidase activity|abnormal peroxidase activity
increased glutathione peroxidase activity|increased peroxidase activity
increased glutathione peroxidase activity|abnormal glutathione peroxidase activity
decreased glutathione peroxidase activity|abnormal glutathione peroxidase activity
decreased glutathione peroxidase activity|decreased peroxidase activity
abnormal glucokinase activity|abnormal enzyme/coenzyme activity
increased glucokinase activity|abnormal glucokinase activity
decreased glucokinase activity|abnormal glucokinase activity
abnormal glyceraldehyde-3-phosphate dehydrogenase (nad+) (phosphorylating) activity|abnormal enzyme/coenzyme activity
increased glyceraldehyde-3-phosphate dehydrogenase (nad+) (phosphorylating) activity|abnormal glyceraldehyde-3-phosphate dehydrogenase (nad+) (phosphorylating) activity
decreased glyceraldehyde-3-phosphate dehydrogenase (nad+) (phosphorylating) activity|abnormal glyceraldehyde-3-phosphate dehydrogenase (nad+) (phosphorylating) activity
abnormal primordial germ cell apoptosis|abnormal apoptosis
abnormal primordial germ cell apoptosis|abnormal reproductive system physiology
abnormal circulating ghrelin level|abnormal circulating hormone level
increased circulating ghrelin level|abnormal circulating ghrelin level
decreased circulating ghrelin level|abnormal circulating ghrelin level
slow aging|mortality/aging
submucous cleft palate|cleft secondary palate
abnormal nonassociative learning|abnormal learning/memory/conditioning
abnormal habituation|abnormal nonassociative learning
abnormal sensitization|abnormal nonassociative learning
abnormal dishabituation|abnormal nonassociative learning
